userid,bookid,issue_date,due_date,return_date
2015AMZ8217,700725,01/08/2020,01/22/2020,02/05/2020
2015AMZ8217,198354,01/01/2020,01/15/2020,01/05/2020
2015AMZ8217,195141,02/09/2020,02/23/2020,03/01/2020
2015AMZ8217,948583,01/18/2020,02/01/2020,03/01/2020
2015AMZ8219,688042,01/22/2020,02/05/2020,03/02/2020
2015AMZ8219,273712,01/05/2020,01/19/2020,01/26/2020
2015BSZ8005,786810,02/15/2020,02/29/2020,03/02/2020
2015BSZ8005,467260,02/12/2020,02/26/2020,02/24/2020
2015BSZ8005,127033,01/06/2020,01/20/2020,01/24/2020
2015BSZ8005,533373,02/13/2020,02/27/2020,02/14/2020
2015BSZ8005,555095,02/08/2020,02/22/2020,02/19/2020
2015CEZ8019,553857,02/26/2020,03/11/2020,03/01/2020
2015CEZ8019,160311,01/26/2020,02/09/2020,02/24/2020
2015CEZ8019,242703,01/11/2020,01/25/2020,03/01/2020
2015CEZ8026,243013,02/16/2020,03/01/2020,03/03/2020
2015CEZ8026,940779,01/04/2020,01/18/2020,01/16/2020
2015CH70151,783779,02/13/2020,02/27/2020,02/17/2020
2015CH70151,287828,02/08/2020,02/22/2020,02/20/2020
2015CH70151,309364,02/26/2020,03/11/2020,02/27/2020
2015CH70151,759425,01/06/2020,01/20/2020,02/28/2020
2015CH70153,529878,01/20/2020,02/03/2020,02/06/2020
2015CH70153,544305,01/01/2020,01/15/2020,01/06/2020
2015CH70153,244694,02/19/2020,03/04/2020,02/28/2020
2015CH70154,617813,02/14/2020,02/28/2020,02/26/2020
2015CH70154,449172,01/06/2020,01/20/2020,02/18/2020
2015CH70154,946554,01/23/2020,02/06/2020,02/21/2020
2015CH70154,65999,01/06/2020,01/20/2020,02/11/2020
2015CH70155,961746,02/06/2020,02/20/2020,02/17/2020
2015CH70155,132816,01/22/2020,02/05/2020,02/15/2020
2015CH70155,262501,02/22/2020,03/07/2020,02/27/2020
2015CH70155,885189,01/07/2020,01/21/2020,02/01/2020
2015CH70156,206661,02/06/2020,02/20/2020,02/20/2020
2015CH70156,693196,02/06/2020,02/20/2020,02/26/2020
2015CH70157,806974,02/24/2020,03/09/2020,02/25/2020
2015CH70157,110662,01/01/2020,01/15/2020,03/03/2020
2015CH70157,725646,01/05/2020,01/19/2020,02/13/2020
2015CH70158,218870,01/23/2020,02/06/2020,02/03/2020
2015CH70158,781655,01/24/2020,02/07/2020,02/11/2020
2015CH70158,214212,01/19/2020,02/02/2020,02/28/2020
2015CH70158,687355,02/01/2020,02/15/2020,02/29/2020
2015CH70160,428343,01/08/2020,01/22/2020,02/09/2020
2015CH70160,592737,01/27/2020,02/10/2020,01/29/2020
2015CH70160,60514,01/05/2020,01/19/2020,02/15/2020
2015CH70161,47739,01/20/2020,02/03/2020,01/21/2020
2015CH70161,858841,02/13/2020,02/27/2020,02/20/2020
2015CH70164,370425,01/03/2020,01/17/2020,01/20/2020
2015CH70164,719871,01/27/2020,02/10/2020,02/19/2020
2015CH70165,117615,02/06/2020,02/20/2020,02/08/2020
2015CH70165,111768,01/07/2020,01/21/2020,01/21/2020
2015CH70165,408771,01/17/2020,01/31/2020,01/18/2020
2015CH70165,277032,01/04/2020,01/18/2020,02/10/2020
2015CHZ8241,471202,02/12/2020,02/26/2020,02/26/2020
2015CHZ8241,119859,01/07/2020,01/21/2020,01/13/2020
2015CHZ8248,680389,02/01/2020,02/15/2020,02/14/2020
2015CHZ8248,199823,01/28/2020,02/11/2020,02/09/2020
2015CHZ8248,749118,02/24/2020,03/09/2020,02/28/2020
2015CHZ8248,797524,01/26/2020,02/09/2020,02/17/2020
2015CHZ8248,911562,01/23/2020,02/06/2020,02/03/2020
2015CS10211,432510,01/18/2020,02/01/2020,02/07/2020
2015CS10211,971889,01/28/2020,02/11/2020,02/07/2020
2015CS10211,681046,01/18/2020,02/01/2020,02/29/2020
2015CYZ8047,427753,01/15/2020,01/29/2020,01/29/2020
2015CYZ8047,254869,01/04/2020,01/18/2020,01/06/2020
2015CYZ8047,924807,02/16/2020,03/01/2020,02/26/2020
2015CYZ8055,314930,02/06/2020,02/20/2020,02/17/2020
2015CYZ8055,110682,01/05/2020,01/19/2020,02/06/2020
2015CYZ8055,756695,02/11/2020,02/25/2020,02/29/2020
2015CYZ8055,774952,02/20/2020,03/05/2020,02/20/2020
2015EEZ2691,462617,01/26/2020,02/09/2020,02/08/2020
2015EEZ2691,858217,01/22/2020,02/05/2020,02/10/2020
2015EEZ2691,155077,02/09/2020,02/23/2020,02/13/2020
2015EEZ2691,702784,02/24/2020,03/09/2020,03/02/2020
2015EEZ2691,766463,02/15/2020,02/29/2020,03/01/2020
2015EEZ8068,111607,01/23/2020,02/06/2020,02/26/2020
2015EEZ8068,120615,02/01/2020,02/15/2020,02/14/2020
